Траектории | Разрешение: 1024x1024
Зеленая		Синяя
x	y	x	y
60	964	60	964
65	957	65	957
70	950	70	950
75	943	75	943
80	936	80	936
85	929	85	930
90	923	90	923
95	916	95	916
100	909	100	910
105	903	105	903
110	896	110	897
115	890	115	890
120	883	120	884
125	877	125	877
130	870	130	871
135	864	135	864
140	857	140	858
145	851	145	852
150	845	150	846
155	839	155	839
160	832	160	833
165	826	165	827
170	820	170	821
175	814	175	815
180	808	180	809
185	802	185	803
190	796	190	797
195	790	195	791
200	784	200	785
205	778	205	779
210	772	210	773
215	766	215	767
220	760	220	762
225	755	225	756
230	749	230	750
235	743	235	744
240	738	240	739
245	732	245	733
250	726	250	728
255	721	255	722
260	715	260	717
265	710	265	711
270	704	270	706
275	699	275	700
280	694	280	695
285	688	285	690
290	683	290	684
295	678	295	679
300	672	300	674
305	667	305	669
310	662	310	664
315	657	315	659
320	652	320	654
325	647	325	649
330	642	330	644
335	637	335	639
340	632	340	634
345	627	345	629
350	622	350	624
355	617	355	619
360	612	360	614
365	607	365	610
370	603	370	605
375	598	375	600
380	593	380	595
385	589	385	591
390	584	390	586
395	579	395	582
400	575	400	577
405	570	405	573
410	566	410	568
415	561	415	564
420	557	420	560
425	553	425	555
430	548	430	551
435	544	435	547
440	540	440	542
445	536	445	538
450	531	450	534
455	527	455	530
460	523	460	526
465	519	465	522
470	515	470	518
475	511	475	514
480	507	480	510
485	503	485	506
490	499	490	502
495	495	495	498
500	491	500	494
505	488	505	491
510	484	510	487
515	480	515	483
520	476	520	480
525	473	525	476
530	469	530	472
535	465	535	469
540	462	540	465
545	458	545	462
550	455	550	458
555	451	555	455
560	448	560	451
565	445	565	448
570	441	570	445
575	438	575	441
580	435	580	438
585	431	585	435
590	428	590	432
595	425	595	429
600	422	600	426
605	419	605	423
610	416	610	419
615	413	615	416
620	410	620	414
625	407	625	411
630	404	630	408
635	401	635	405
640	398	640	402
645	395	645	399
650	392	650	396
655	390	655	394
660	387	660	391
665	384	665	388
670	381	670	386
675	379	675	383
680	376	680	381
685	374	685	378
690	371	690	376
695	369	695	373
700	366	700	371
705	364	705	368
710	362	710	366
715	359	715	364
720	357	720	362
725	355	725	359
730	352	730	357
735	350	735	355
740	348	740	353
745	346	745	351
750	344	750	349
755	342	755	347
760	340	760	345
765	338	765	343
770	336	770	341
775	334	775	339
780	332	780	337
785	330	785	335
790	328	790	333
795	327	795	332
800	325	800	330
805	323	805	328
810	321	810	327
815	320	815	325
820	318	820	324
825	317	825	322
830	315	830	320
835	314	835	319
840	312	840	318
845	311	845	316
850	309	850	315
855	308	855	314
860	307	860	312
865	305	865	311
870	304	870	310
875	303	875	309
880	302	880	307
885	301	885	306
890	299	890	305
895	298	895	304
900	297	900	303
905	296	905	302
910	295	910	301
915	294	915	300
920	293	920	299
925	293	925	299
930	292	930	298
935	291	935	297
940	290	940	296
945	289	945	296
950	289	950	295
955	288	955	294
960	288	960	294
965	287	965	293
970	286	970	293
975	286	975	292
980	285	980	292
985	285	985	291
990	285	990	291
995	284	995	291
1000	284	1000	290
985	303	1005	290
