Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
100	661	100	661
135	622	135	623
165	590	165	590
195	559	195	559
230	504	230	525
260	475	260	496
295	442	295	464
325	416	325	438
360	386	360	408
390	302	390	384
425	275	425	358
460	250	460	332
490	289	490	312
520	310	520	293
550	291	550	274
580	274	580	257
610	258	610	241
645	240	645	224
680	204	680	208
715	170	715	193
750	156	750	180
785	145	785	169
820	114	820	159
855	106	855	150
890	98	890	143
925	72	925	138
955	69	955	134
945	68	965	133
