Мыши:	Добравшиеся	Пропавшие	Добравшиеся сами	Разрешение окна: 1024x768
	16		2		0
		Длины:					Фин. координаты:
Раунд	Попал	Синий	Зеленый	Разница	Время реакции	x	y
1	True	1259	966	293	1.3441		935	71
2	False	1631	1464	167	0.613		985	107
3	True	1199	1040	159	0.8785		925	44
4	True	1453	1346	107	1.5537		935	72
5	True	1491	1384	107	1.6797		955	81
6	True	1236	1080	156	1.0161		930	63
7	True	1239	962	277	2.119		935	68
8	True	1182	1091	91	1.5016		960	93
9	True	1249	977	272	1.017		950	87
10	True	1345	1286	59	2.1942		955	91
11	True	1272	981	291	1.4476		960	93
12	True	1566	1435	131	0.7685		935	72
13	False	1249	1160	89	1.2715		795	39
14	True	1418	1379	39	1.937		945	79
15	True	1438	1367	71	1.3992		940	70
16	True	1298	1085	213	1.5566		950	84
17	True	1266	962	304	0.9211		940	72
18	True	1573	1481	92	1.6082		930	39
