Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
70	692	70	692
80	676	80	676
90	661	90	661
100	646	100	646
110	631	110	631
120	616	120	616
130	601	130	601
135	594	135	594
145	579	145	580
155	565	155	566
165	551	165	551
175	537	175	537
185	523	185	524
195	509	195	510
205	495	205	497
215	482	215	483
220	475	220	477
230	462	230	464
240	449	240	451
250	436	250	438
260	424	260	425
270	411	270	413
280	399	280	401
285	393	285	395
295	381	295	383
305	369	305	371
315	357	315	359
325	345	325	348
335	334	335	336
345	323	345	325
355	311	355	314
365	301	365	303
375	290	375	292
385	279	385	282
395	269	395	271
405	258	405	261
415	248	415	251
425	238	425	241
435	228	435	231
445	218	445	221
455	209	455	212
465	199	465	203
475	190	475	194
485	181	485	185
495	172	495	176
505	164	505	167
515	155	515	159
525	147	525	150
535	138	535	142
545	130	545	134
555	122	555	126
565	114	565	118
575	107	575	111
580	103	580	107
590	96	590	100
600	88	600	93
610	81	610	86
620	74	620	79
630	68	630	72
640	61	640	66
650	55	650	59
660	88	660	53
670	122	670	47
680	116	680	41
690	111	690	36
700	105	700	30
710	100	710	25
720	94	720	20
730	89	730	14
740	84	740	10
750	79	750	5
760	75	760	0
770	70	770	-3
780	66	780	-7
790	102	790	-12
800	98	800	-16
810	94	810	-19
815	92	815	-21
825	88	825	-25
835	85	835	-28
845	81	845	-31
855	78	855	-34
865	75	865	-37
875	72	875	-40
885	70	885	-43
895	67	895	-45
905	65	905	-47
915	63	915	-49
925	41	925	-51
935	39	935	-53
945	37	945	-55
930	56	950	-55
